Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes,
77,0,,63.7,Yes,,1,1,1,C1 77,
61,0,,50.3,Yes,,0,0,0,C3 61,
62,0,,43.3,Yes,,0,0,0,C2 62,
953,0,,33.8,Yes,,0,0,0,R9 64,Previously 64
65,0,,37.6,Yes,,0,0,0,R4 65,
67,0,,32.8,Yes,,0,0,0,R6 67,
68,0,,36,Yes,,0,0,0,R3 68,
69,0,,35,Yes,,0,0,0,R2 69,
70,0,,38.85,Yes,,0,0,0,R1 70,
63,0,,39.5,Yes,,0,0,0,C4 63,
75,0,,38.2,Yes,,0,0,0,C5 75,
76,0,,39.5,Yes,,0,0,0,C6 76,
950,0,,38.2,Yes,,0,0,0,C7 74,Previously 74
73,0,,36.6,Yes,,0,0,0,C8 73,
72,0,,31.85,Yes,,0,0,0,C9 72,
71,0,,25.5,Yes,,0,0,0,C10 71,
78,0,,34.7,Yes,,0,0,0,C13 78,
79,0,,46.2,Yes,,0,0,0,,
66,0,,49.4,Yes,,0,0,0,,
946,0,,37.6,Yes,,0,0,0,Previously 80,
116,0,,27.8,No,,,,,No hollows data,
117,0,,29.1,No,,,,,No hollows data,
119,0,,29.5,No,,,,,No hollows data,
122,0,,20.2,No,,,,,No hollows data,
123,0,,22.7,No,,,,,No hollows data,
128,0,,29.1,No,,,,,No hollows data,
129,0,,23.5,No,,,,,No hollows data,
130,0,,25.3,No,,,,,No hollows data,
131,0,,23.3,No,,,,,No hollows data,
132,0,,24.9,No,,,,,No hollows data,
118,0,,35.8,No,,0,0,0,,
120,0,,41.2,No,,0,0,0,,
121,0,,36.7,No,,0,0,0,,
124,0,,34,No,,1,0,0,,
125,0,,33.3,No,,0,0,0,,
126,0,,31.9,No,,0,0,0,,
127,0,,33.9,No,,0,0,0,,
133,0,,35,No,,0,0,0,,
134,0,,33.8,No,,0,0,0,,
135,0,,35.3,No,,0,0,0,Maybe a hollow - not deep enough?,
61,6,Yes,54,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
62,6,Yes,45.5,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
63,6,Yes,40.1,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
953,6,Yes,36.9,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),Previously 64
65,6,Yes,39.1,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
66,6,Yes,51.9,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
67,6,Yes,35.4,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
68,6,Yes,34,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
69,6,Yes,34.8,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
70,6,Yes,42.2,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
71,6,Yes,44.2,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
72,6,Yes,43.7,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
73,6,Yes,38,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
950,6,Yes,40.7,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),Previously 74
75,6,Yes,41,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
76,6,Yes,44.4,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
77,6,Yes,68.5,Yes,,1,1,1,,
78,6,Yes,36,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
79,6,Yes,50.2,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),
946,6,Yes,39.1,Yes,,0,0,0,No hollows data (On this sheet assume not listed = 0),Previously 80
116,6,Yes,29.8,No,,,,,No hollows data,
117,6,Yes,30.7,No,,,,,No hollows data,
118,6,Yes,39.5,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
119,6,Yes,31.7,No,,,,,No hollows data,
120,6,Yes,44.5,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
121,6,Yes,39.1,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
122,6,Yes,20.8,No,,,,,No hollows data,
123,6,Yes,23.2,No,,,,,No hollows data,
124,6,Yes,36,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
125,6,Yes,36.7,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
126,6,Yes,34.5,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
127,6,Yes,36.1,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
128,6,Yes,31.8,No,,,,,No hollows data,
129,6,Yes,24.9,No,,,,,No hollows data,
130,6,Yes,28,No,,,,,No hollows data,
131,6,Yes,24.2,No,,,,,No hollows data,
132,6,Yes,26.5,No,,,,,No hollows data,
133,6,Yes,37,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
134,6,Yes,37,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
135,6,Yes,37.5,No,,0,0,0,No hollows data (On this sheet assume not listed = 0),
