Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes
321,0,,25,No,,,,,No corresponding number on the Hollows sheet
322,0,,29,No,,,,,No corresponding number on the Hollows sheet
323,0,,23.4,No,,,,,No corresponding number on the Hollows sheet
324,0,,23.9,No,,,,,No corresponding number on the Hollows sheet
325,0,,26.2,No,,,,,No corresponding number on the Hollows sheet
326,0,,22.1,No,,,,,No corresponding number on the Hollows sheet
331,0,,21.5,No,,,,,No corresponding number on the Hollows sheet
333,0,,20.1,No,,,,,No corresponding number on the Hollows sheet
335,0,,29.2,No,,0,0,0,
338,0,,28.6,No,,,,,No corresponding number on the Hollows sheet
327,0,,31.2,No,,0,0,0,
328,0,,31,No,,0,0,0,
329,0,,31.7,No,,3,0,0,
330,0,,33,No,,0,0,0,
332,0,,31.1,No,,0,0,0,
334,0,,32.2,No,,0,0,0,
336,0,,32,No,,,,,No corresponding number on the Hollows sheet
337,0,,31.1,No,,0,0,0,
339,0,,36.2,No,,0,0,0,
340,0,,34.5,No,,0,0,0,
20,0,,36,Yes,,0,0,0,
19,0,,43,Yes,,0,0,0,
13,0,,42,Yes,,0,0,0,
14,0,,42,Yes,,0,0,0,
7,0,,36,Yes,,0,0,0,
12,0,,36,Yes,,0,0,0,
15,0,,35,Yes,,0,0,0,
16,0,,39,Yes,,0,0,0,
9,0,,41,Yes,,0,0,0,
4,0,,35,Yes,,0,0,0,
974,0,,43,Yes,,0,0,0,Previously 1
2,0,,38,Yes,,0,0,0,
3,0,,35,Yes,,0,0,0,
5,0,,35,Yes,,0,0,0,
6,0,,35.5,Yes,,0,0,0,
8,0,,44,Yes,,0,0,0,
10,0,,44,Yes,,0,0,0,
977,0,,42,Yes,,0,0,0,Previously 17
18,0,,34,Yes,,0,0,0,
974,6,Yes,47.6,Yes,,0,0,0,Previously 1
2,6,Yes,40.3,Yes,,0,0,0,
3,6,Yes,36.8,Yes,,0,0,0,
4,6,Yes,37.1,Yes,,0,0,0,
5,6,Yes,37.6,Yes,,0,0,0,
6,6,Yes,39.3,Yes,,0,0,0,
7,6,Yes,38.6,Yes,,0,0,0,
8,6,Yes,44.9,Yes,,0,0,0,
9,6,Yes,42.6,Yes,,0,0,0,
10,6,Yes,45.7,Yes,,0,0,0,
11,6,Yes,37,Yes,,0,0,0,
12,6,Yes,36.2,Yes,,0,0,0,
13,6,Yes,42.5,Yes,,0,0,0,
14,6,Yes,41.4,Yes,,0,0,0,
15,6,Yes,36.3,Yes,,0,0,0,
16,6,Yes,39.3,Yes,,0,0,0,
977,6,Yes,47.1,Yes,,0,0,0,Tree 17 retagged as 977
18,6,Yes,37,Yes,,0,0,0,
19,6,Yes,45.9,Yes,,0,0,0,
20,6,Yes,41.6,Yes,,0,0,0,
321,6,Yes,26.5,No,,0,0,0,
322,6,Yes,32.8,No,,0,0,0,
323,6,Yes,26.3,No,,0,0,0,
324,6,Yes,25.4,No,,0,0,0,
325,6,Yes,28,No,,0,0,0,
326,6,Yes,23.2,No,,0,0,0,
327,6,Yes,32.5,No,,0,0,0,
328,6,Yes,32.8,No,,0,0,0,
329,6,Yes,35.1,No,,0,0,0,Hollows recorded at year 0 but not at year 6?
330,6,Yes,35.4,No,,0,0,0,
331,6,Yes,23.6,No,,0,0,0,
332,6,Yes,32.7,No,,0,0,0,
333,6,Yes,21.3,No,,0,0,0,
334,6,Yes,33.5,No,,0,0,0,
335,6,Yes,31.2,No,,0,0,0,
336,6,Yes,35.2,No,,0,0,0,
337,6,Yes,34.1,No,,0,0,0,
338,6,Yes,30.2,No,,0,0,0,
339,6,Yes,41.4,No,,0,0,0,
340,6,Yes,36.9,No,,0,0,0,
