Tree Number,Year,Alive,DBH,Large?,Tree Class,Hollows Class 1,Hollows Class 2,Hollows Class 3,Notes
21,0,,39.8,Yes,4,0,0,0,
22,0,,40.2,Yes,5,0,0,0,
23,0,,45.2,Yes,5,0,0,0,
24,0,,38,Yes,4,0,0,1,
25,0,,43,Yes,5,0,0,0,
26,0,,44,Yes,5,0,0,0,
27,0,,43.5,Yes,5,0,1,1,
28,0,,35.1,Yes,4,0,0,0,
29,0,,38,Yes,4,0,0,0,
30,0,,49.5,Yes,5,1,0,0,
31,0,,38.2,Yes,4,0,0,0,
32,0,,43.7,Yes,5,0,0,0,
33,0,,62,Yes,7,0,0,0,
34,0,,54,Yes,6,1,0,0,
35,0,,44.8,Yes,5,0,0,0,
36,0,,41.5,Yes,5,0,0,1,
37,0,,38.3,Yes,4,0,0,0,
38,0,,38,Yes,4,0,0,0,
39,0,,38.5,Yes,4,0,0,0,
40,0,,40.2,Yes,5,0,0,0,
501,0,,26.5,No,2,,,,Hollows data not available
502,0,,27.9,No,2,,,,Hollows data not available
503,0,,22,No,2,,,,Hollows data not available
504,0,,28.3,No,2,,,,Hollows data not available
508,0,,27.1,No,2,,,,Hollows data not available
509,0,,21.5,No,2,,,,Hollows data not available
513,0,,26,No,2,,,,Hollows data not available
514,0,,27.5,No,2,,,,Hollows data not available
515,0,,28.8,No,2,,,,Hollows data not available
519,0,,24.2,No,2,,,,Hollows data not available
505,0,,30.5,No,3,0,0,0,
506,0,,32.1,No,3,0,0,0,
507,0,,33,No,3,0,0,0,
510,0,,31.4,No,3,0,0,0,
511,0,,34.8,No,3,0,0,0,
512,0,,33.7,No,3,0,0,0,
516,0,,31.6,No,3,0,1,0,
517,0,,37.2,No,3,0,0,0,
518,0,,33.5,No,3,0,0,0,
520,0,,33.7,No,3,0,0,0,
21,6,Yes,42.4,Yes,5,0,,,
22,6,Yes,43,Yes,5,0,,,
23,6,Yes,48.4,Yes,5,0,,,
24,6,Yes,39.1,Yes,4,Yes,,,Count not available
25,6,Yes,45.2,Yes,5,0,,,
26,6,Yes,46.6,Yes,5,0,,,
27,6,Yes,43.8,Yes,5,0,,,
28,6,Yes,37,Yes,4,0,,,
29,6,Yes,38,Yes,4,Yes,,,Count not available
30,6,Yes,50.5,Yes,6,0,,,
31,6,Yes,41,Yes,5,0,,,
32,6,Yes,44.4,Yes,5,0,,,
33,6,Yes,63.5,Yes,7,0,,,
34,6,Yes,60.2,Yes,7,0,,,
35,6,Yes,49,Yes,5,0,,,
36,6,Yes,40.5,Yes,5,0,,,
37,6,Yes,41.1,Yes,5,0,,,
38,6,Yes,38.2,Yes,4,0,,,
39,6,Yes,41.3,Yes,5,0,,,
40,6,Yes,41.8,Yes,5,0,,,
501,6,Yes,30.6,No,4,0,,,
502,6,Yes,28.9,No,3,0,,,
503,6,Yes,24,No,3,0,,,
504,6,Yes,31.1,No,4,0,,,
505,6,Yes,33,No,4,0,,,
506,6,Yes,33.6,No,4,0,,,
507,6,Yes,34.2,No,4,0,,,
508,6,Yes,28.3,No,3,0,,,
509,6,Yes,21.8,No,3,0,,,
510,6,Yes,33.4,No,4,0,,,
511,6,Yes,36.6,No,4,0,,,
512,6,Yes,35.5,No,4,0,,,
513,6,Yes,26.5,No,3,0,,,
514,6,Yes,28.2,No,3,0,,,
515,6,Yes,29.3,No,3,0,,,
516,6,Yes,32.3,No,4,Yes ,,,Count not available
517,6,Yes,39.2,No,4,0,,,
518,6,Yes,35.2,No,4,0,,,
519,6,Yes,24.6,No,3,0,,,
520,6,Yes,34.4,No,4,0,,,
