Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
407,9,T2: Radial,No,,24.9,27.0,3,3,0,0,0,0,0,0
408,9,T2: Radial,No,,28.2,29.8,3,3,0,0,0,0,0,0
411,9,T2: Radial,No,,21.3,21.9,3,3,0,0,0,,,
412,9,T2: Radial,No,,20.5,21.0,3,3,,,,0,0,0
413,9,T2: Radial,No,,21.0,22.6,3,3,0,0,0,0,0,0
414,9,T2: Radial,No,,28.1,30.4,3,4,,,,0,0,0
406,9,T2: Radial,No,,27.7,29.8,3,3,0,0,0,0,0,0
417,9,T2: Radial,No,,29.1,31.5,3,4,,,,0,0,0
419,9,T2: Radial,,Yes,26.8,29.2,3,3,,,,,,
420,9,T2: Radial,No,,22.8,24.7,3,3,,,,0,0,0
401,9,T2: Radial,No,,39.5,44.6,4,5,0,0,0,0,0,0
402,9,T2: Radial,No,,33.9,38.5,4,4,0,0,0,0,0,0
403,9,T2: Radial,No,,33.0,35.0,4,4,1,0,0,0,0,0
404,9,T2: Radial,No,,34.1,35.1,4,4,0,0,0,0,0,0
405,9,T2: Radial,No,,31.9,36.9,4,4,0,0,0,0,0,0
409,9,T2: Radial,No,,37.2,41.0,4,5,,,,yes,0,0
410,9,T2: Radial,No,,31.8,,4,,,,,,,
415,9,T2: Radial,No,,33.8,35.5,4,1,,,,0,0,0
416,9,T2: Radial,No,,37.8,40.3,4,5,,,,0,0,0
418,9,T2: Radial,No,,31.9,33.0,4,4,,,,,,
108,9,T2: Radial,Yes,,40.5,,5,,0,0,0,,,
109,9,T2: Radial,Yes,Yes,38.5,41.2,4,1,0,0,0,0,0,0
105,9,T2: Radial,Yes,Yes,43.7,49.9,5,5,0,0,0,0,0,0
106,9,T2: Radial,Yes,Yes,40.1,46.0,5,5,0,0,0,0,0,0
92,9,T2: Radial,Yes,,30.8,,4,,0/0,0/0,0/0,,,
91,9,T2: Radial,Yes,Yes,40.7,45.5,5,1,0/0,0/0,0/0,0,0,0
95,9,T2: Radial,Yes,Yes,41.2,48.5,5,5,0,0,0,0,0,0
94,9,T2: Radial,Yes,Yes,32.6,38.1,4,4,1,0,0,0,0,0
93,9,T2: Radial,Yes,Yes,39.5,44.3,4,5,0/0,0/0,0/0,0,0,0
96,9,T2: Radial,Yes,Yes,39.2,43.2,4,5,0,0,0,0,0,0
104,9,T2: Radial,Yes,Yes,50.5,55.8,6,6,0,0,0,0,0,0
103,9,T2: Radial,Yes,Yes,40.5,45.8,5,5,0,0,0,0,0,0
99,9,T2: Radial,Yes,,42.5,,5,,0,0,0,,,
98,9,T2: Radial,Yes,Yes,40.3,45.4,5,1,0,0,0,0,0,0
100,9,T2: Radial,Yes,Yes,42.2,49.6,5,5,0,0,0,0,0,0
97,9,T2: Radial,Yes,Yes,43.1,49.3,5,5,0,0,0,0,0,0
101,9,T2: Radial,Yes,Yes,39.1,44.6,4,5,0,0,0,0,0,0
102,9,T2: Radial,Yes,Yes,46.1,51.9,5,6,0,0,0,0,0,0
107,9,T2: Radial,Yes,,33.0,,4,,0,0,0,,,
