Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
173,5,T2: Radial,Yes,Yes,38.9,41.7,4,5,,,,,,
986,5,T2: Radial,,Yes,46.2,44.5,5,5,,,,,,
463,5,T2: Radial,No,Yes,28.0,29.1,3,3,,,,0.0,0.0,0.0
464,5,T2: Radial,No,Yes,23.5,24.5,3,3,,,,0.0,0.0,0.0
465,5,T2: Radial,No,Yes,23.7,25.3,3,3,,,,0.0,0.0,0.0
467,5,T2: Radial,No,Yes,29.4,30.2,3,4,,,,0.0,0.0,0.0
471,5,T2: Radial,No,,21.0,,3,,,,,,,
472,5,T2: Radial,No,Yes,26.6,27.5,3,1,,,,0.0,0.0,0.0
474,5,T2: Radial,No,Yes,28.5,30.3,3,4,,,,0.0,0.0,0.0
476,5,T2: Radial,No,Yes,22.0,24.1,3,3,,,,0.0,0.0,0.0
477,5,T2: Radial,No,,23.5,,3,,,,,,,
480,5,T2: Radial,No,Yes,24.3,25.8,3,1,,,,0.0,0.0,0.0
461,5,T2: Radial,No,Yes,31.2,32.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
462,5,T2: Radial,No,Yes,33.5,36.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
466,5,T2: Radial,No,Yes,30.5,31.3,4,4,0.0,0.0,0.0,0.0,0.0,0.0
468,5,T2: Radial,No,Yes,33.9,35.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
469,5,T2: Radial,No,Yes,37.4,39.6,4,4,0.0,0.0,0.0,0.0,0.0,0.0
470,5,T2: Radial,No,Yes,30.9,34.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
473,5,T2: Radial,No,Yes,35.9,37.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
475,5,T2: Radial,No,Yes,31.1,35.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0
478,5,T2: Radial,No,Yes,31.2,45.4,4,5,0.0,0.0,0.0,0.0,0.0,0.0
479,5,T2: Radial,No,Yes,34.3,34.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
187,5,T2: Radial,Yes,Yes,63.7,63.1,7,7,1.0,0.0,0.0,0.0,0.0,0.0
172,5,T2: Radial,Yes,Yes,39.7,32.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
171,5,T2: Radial,Yes,Yes,34.0,36.9,4,4,0.0,0.0,0.0,0.0,0.0,0.0
188,5,T2: Radial,Yes,Yes,32.9,38.1,4,4,0.0,0.0,0.0,0.0,0.0,0.0
175,5,T2: Radial,Yes,Yes,40.0,41.7,4,5,0.0,0.0,0.0,0.0,0.0,0.0
174,5,T2: Radial,Yes,Yes,99.3,100.0,,,1.0,1.0,7.0,2.0,1.0,7.0
176,5,T2: Radial,Yes,Yes,81.8,80.7,,,0.0,0.0,4.0,2.0,1.0,4.0
177,5,T2: Radial,Yes,Yes,52.2,52.8,6,6,2.0,4.0,2.0,2.0,5.0,0.0
179,5,T2: Radial,Yes,Yes,51.9,52.7,6,6,7.0,2.0,2.0,1.0,1.0,2.0
180,5,T2: Radial,Yes,Yes,39.2,41.2,4,5,0.0,0.0,0.0,0.0,0.0,0.0
181,5,T2: Radial,Yes,Yes,41.1,44.1,5,5,0.0,0.0,0.0,0.0,0.0,0.0
182,5,T2: Radial,Yes,Yes,42.0,44.1,5,5,0.0,0.0,0.0,0.0,0.0,0.0
989,5,T2: Radial,Yes,Yes,39.8,44.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0
184,5,T2: Radial,Yes,Yes,26.8,43.4,3,5,0.0,0.0,0.0,0.0,0.0,0.0
185,5,T2: Radial,Yes,Yes,24.9,38.9,3,4,0.0,0.0,0.0,0.0,0.0,0.0
186,5,T2: Radial,Yes,Yes,57.3,60.8,6,7,3.0,0.0,1.0,2.0,0.0,2.0
