Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
,6,Control,,,,,,,,,,,,
151.0,6,Control,Yes,Yes,40.0,41.1,,,0,0.0,0.0,0,0.0,0.0
152.0,6,Control,Yes,Yes,39.9,40.8,,,0,0.0,0.0,0,0.0,0.0
153.0,6,Control,Yes,Yes,43.4,44.0,,,0,0.0,0.0,0,0.0,0.0
154.0,6,Control,Yes,Yes,49.6,49.5,,,0,0.0,0.0,0,0.0,0.0
155.0,6,Control,Yes,Yes,50.7,52.6,,,0,0.0,0.0,0,0.0,0.0
156.0,6,Control,Yes,Yes,42.2,43.1,,,0,0.0,0.0,,,
157.0,6,Control,Yes,Yes,48.0,49.5,,,0,0.0,0.0,0,0.0,0.0
158.0,6,Control,Yes,Yes,41.2,42.7,,,0,0.0,0.0,0,0.0,0.0
159.0,6,Control,Yes,Yes,43.5,44.1,,,0,0.0,0.0,0,0.0,0.0
160.0,6,Control,Yes,Yes,52.5,52.7,,,0,2.0,3.0,Yes,,
161.0,6,Control,Yes,Yes,39.8,40.2,,,0,0.0,0.0,0,0.0,0.0
162.0,6,Control,Yes,Yes,48.0,48.7,,,0,0.0,0.0,0,0.0,0.0
163.0,6,Control,Yes,Yes,38.2,39.8,,,0,0.0,0.0,0,0.0,0.0
164.0,6,Control,Yes,Yes,38.5,40.0,,,0,0.0,0.0,0,0.0,0.0
165.0,6,Control,Yes,,39.5,,,,0,0.0,0.0,,,
166.0,6,Control,Yes,Yes,46.6,47.8,,,0,0.0,0.0,0,0.0,0.0
167.0,6,Control,Yes,Yes,42.6,44.4,,,0,0.0,0.0,0,0.0,0.0
168.0,6,Control,Yes,Yes,45.2,48.0,,,0,0.0,0.0,0,0.0,0.0
169.0,6,Control,Yes,Yes,46.3,49.9,,,0,0.0,0.0,0,0.0,0.0
170.0,6,Control,Yes,Yes,41.8,43.2,,,0,0.0,0.0,0,0.0,0.0
483.0,6,Control,No,Yes,25.5,27.1,,,,,,0,0.0,0.0
484.0,6,Control,No,Yes,22.2,22.5,,,,,,0,0.0,0.0
486.0,6,Control,No,Yes,25.4,25.5,,,,,,0,0.0,0.0
487.0,6,Control,No,Yes,28.0,28.5,,,,,,0,0.0,0.0
489.0,6,Control,No,Yes,25.4,26.2,,,,,,0,0.0,0.0
491.0,6,Control,No,Yes,23.6,24.1,,,,,,0,0.0,0.0
492.0,6,Control,No,Yes,21.9,22.1,,,,,,0,0.0,0.0
493.0,6,Control,No,Yes,23.1,23.8,,,,,,0,0.0,0.0
497.0,6,Control,No,Yes,22.6,22.8,,,,,,0,0.0,0.0
499.0,6,Control,No,Yes,28.3,29.2,,,,,,0,0.0,0.0
481.0,6,Control,No,Yes,36.1,37.0,,,0,0.0,0.0,0,0.0,0.0
482.0,6,Control,No,Yes,32.0,33.7,,,0,0.0,0.0,0,0.0,0.0
485.0,6,Control,No,Yes,35.5,36.7,,,0,0.0,0.0,,,
488.0,6,Control,No,Yes,34.0,35.8,,,0,0.0,0.0,0,0.0,0.0
490.0,6,Control,No,Yes,34.4,35.3,,,0,0.0,0.0,,,
494.0,6,Control,No,Yes,31.1,31.5,,,0,0.0,0.0,0,0.0,0.0
495.0,6,Control,No,Yes,35.3,36.6,,,0,0.0,0.0,0,0.0,0.0
496.0,6,Control,No,Yes,34.7,39.7,,,0,0.0,0.0,0,0.0,0.0
498.0,6,Control,No,Yes,33.5,33.9,,,0,0.0,0.0,0,0.0,0.0
500.0,6,Control,No,Yes,36.8,38.7,,,0,0.0,0.0,0,0.0,0.0
935.0,6,Control,Yes,Yes,,41.9,,,,,,0,0.0,0.0
