Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
562,4,Control,,yes,23.6,23.9,,,,,,0.0,0.0,0.0
563,4,Control,,yes,29.8,31.2,,,,,,0.0,0.0,0.0
564,4,Control,,yes,25.0,26.3,,,,,,0.0,0.0,0.0
567,4,Control,,yes,29.8,30.9,,,,,,0.0,0.0,0.0
568,4,Control,,yes,23.1,23.6,,,,,,0.0,0.0,0.0
570,4,Control,,yes,22.0,22.5,,,,,,0.0,0.0,0.0
576,4,Control,,yes,22.4,22.8,,,,,,0.0,0.0,0.0
577,4,Control,,yes,25.8,26.5,,,,,,0.0,0.0,0.0
578,4,Control,,yes,25.2,26.1,,,,,,0.0,0.0,0.0
579,4,Control,,yes,29.5,31.0,,,,,,0.0,0.0,0.0
565,4,Control,,yes,32.7,33.8,,,0.0,0.0,0.0,0.0,0.0,0.0
566,4,Control,,yes,32.3,34.2,,,0.0,0.0,0.0,0.0,0.0,0.0
569,4,Control,,yes,31.9,33.2,,,0.0,0.0,0.0,0.0,0.0,0.0
571,4,Control,,yes,35.0,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
572,4,Control,,yes,31.2,32.3,,,0.0,0.0,0.0,0.0,0.0,0.0
573,4,Control,,yes,32.7,33.6,,,0.0,0.0,0.0,0.0,0.0,0.0
574,4,Control,,yes,30.1,31.3,,,1.0,0.0,0.0,0.0,0.0,0.0
575,4,Control,,yes,32.2,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
580,4,Control,,yes,35.5,35.6,,,0.0,0.0,0.0,0.0,0.0,0.0
581,4,Control,,yes,33.4,33.9,,,0.0,0.0,0.0,0.0,0.0,0.0
T1,4,Control,yes,,36.60563691113593,,,,,,,,,
T2,4,Control,yes,,50.92958178940651,,,,,,,,,
T3,4,Control,yes,,38.197186342054884,,,,,,,,,
T4,4,Control,yes,,44.245074179546904,,,,,,,,,
T5,4,Control,yes,,33.42253804929802,,,,,,,,,
T6,4,Control,yes,,42.97183463481174,,,,,,,,,
T7,4,Control,yes,,31.830988618379067,,,,,,,,,
T8,4,Control,yes,,31.830988618379067,,,,,,,,,
T9,4,Control,yes,,32.46760839074665,,,,,,,,,
T10,4,Control,yes,,34.37746770784939,,,,,,,,,
301,4,Control,yes,yes,,36.0,,,0.0,0.0,0.0,1.0,0.0,0.0
302,4,Control,yes,yes,,33.0,,,0.0,0.0,0.0,0.0,0.0,0.0
303,4,Control,yes,yes,,50.08,,,0.0,0.0,0.0,0.0,0.0,0.0
304,4,Control,yes,yes,,33.1,,,0.0,0.0,0.0,0.0,0.0,0.0
305,4,Control,yes,yes,,36.0,,,0.0,0.0,0.0,0.0,0.0,0.0
306,4,Control,yes,yes,,37.3,,,0.0,0.0,0.0,0.0,0.0,0.0
307,4,Control,yes,yes,,32.8,,,0.0,0.0,0.0,0.0,0.0,1.0
308,4,Control,yes,yes,,34.8,,,0.0,0.0,0.0,0.0,0.0,0.0
320,4,Control,yes,yes,,33.7,,,0.0,0.0,0.0,0.0,0.0,0.0
309,4,Control,yes,yes,,45.1,,,0.0,0.0,0.0,0.0,0.0,0.0
313,4,Control,yes,yes,,38.5,,,0.0,0.0,0.0,0.0,0.0,0.0
311,4,Control,yes,yes,,43.9,,,0.0,0.0,0.0,0.0,0.0,0.0
314,4,Control,yes,yes,,45.5,,,0.0,0.0,1.0,0.0,0.0,0.0
315,4,Control,yes,yes,,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
310,4,Control,yes,yes,,32.8,,,0.0,0.0,0.0,0.0,0.0,0.0
316,4,Control,yes,yes,,35.1,,,0.0,0.0,0.0,0.0,0.0,0.0
317,4,Control,yes,yes,,37.5,,,0.0,0.0,0.0,0.0,0.0,0.0
318,4,Control,yes,yes,,36.6,,,0.0,0.0,0.0,0.0,0.0,0.0
319,4,Control,yes,yes,,36.6,,,0.0,0.0,0.0,0.0,0.0,0.0
312,4,Control,yes,yes,,34.2,,,0.0,0.0,0.0,0.0,0.0,1.0
