Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
C1,5,T2: Radial,Yes,,52.2,,,,,,,,,
C2,5,T2: Radial,Yes,,81.8,,,,,,,,,
C3,5,T2: Radial,Yes,,51.9,,,,,,,,,
C4,5,T2: Radial,Yes,,41.1,,,,,,,,,
C5,5,T2: Radial,Yes,,42.0,,,,,,,,,
C7,5,T2: Radial,Yes,,40.8,,,,,,,,,
C8,5,T2: Radial,Yes,,43.0,,,,,,,,,
R1,5,T2: Radial,Yes,,102.0,,,,,,,,,
R2,5,T2: Radial,Yes,,57.3,,,,,,,,,
R3,5,T2: Radial,Yes,,63.7,,,,,,,,,
R4,5,T2: Radial,Yes,,38.9,,,,,,,,,
R5,5,T2: Radial,Yes,,39.7,,,,,,,,,
R6,5,T2: Radial,Yes,,26.8,,,,,,,,,
R7,5,T2: Radial,Yes,,24.9,,,,,,,,,
R8,5,T2: Radial,Yes,,39.2,,,,,,,,,
R9,5,T2: Radial,Yes,,46.2,,,,,,,,,
R10,5,T2: Radial,Yes,,36.9,,,,,,,,,
463,5,T2: Radial,No,Yes,28.0,29.1,,,,,,0.0,0.0,0.0
464,5,T2: Radial,No,Yes,23.5,24.5,,,,,,0.0,0.0,0.0
465,5,T2: Radial,No,Yes,23.7,25.3,,,,,,0.0,0.0,0.0
467,5,T2: Radial,No,Yes,29.4,30.2,,,,,,0.0,0.0,0.0
471,5,T2: Radial,No,,21.0,,,,,,,,,
472,5,T2: Radial,No,Yes,26.6,27.5,,,,,,0.0,0.0,0.0
474,5,T2: Radial,No,Yes,28.5,30.3,,,,,,0.0,0.0,0.0
476,5,T2: Radial,No,Yes,22.0,24.1,,,,,,0.0,0.0,0.0
477,5,T2: Radial,No,,23.5,,,,,,,,,
480,5,T2: Radial,No,Yes,24.3,25.8,,,,,,0.0,0.0,0.0
461,5,T2: Radial,No,Yes,31.2,32.9,,,0.0,0.0,0.0,0.0,0.0,0.0
462,5,T2: Radial,No,Yes,33.5,36.1,,,0.0,0.0,0.0,0.0,0.0,0.0
466,5,T2: Radial,No,Yes,30.5,31.3,,,0.0,0.0,0.0,0.0,0.0,0.0
468,5,T2: Radial,No,Yes,33.9,35.1,,,0.0,0.0,0.0,0.0,0.0,0.0
469,5,T2: Radial,No,Yes,37.4,39.6,,,0.0,0.0,0.0,0.0,0.0,0.0
470,5,T2: Radial,No,Yes,30.9,34.9,,,0.0,0.0,0.0,0.0,0.0,0.0
473,5,T2: Radial,No,Yes,35.9,37.9,,,0.0,0.0,0.0,0.0,0.0,0.0
475,5,T2: Radial,No,Yes,31.1,35.5,,,0.0,0.0,0.0,0.0,0.0,0.0
478,5,T2: Radial,No,Yes,31.2,45.4,,,0.0,0.0,0.0,0.0,0.0,0.0
479,5,T2: Radial,No,Yes,34.3,34.9,,,0.0,0.0,0.0,0.0,0.0,0.0
187,5,T2: Radial,Yes,Yes,,63.1,,,1.0,0.0,0.0,0.0,0.0,0.0
172,5,T2: Radial,Yes,Yes,,32.9,,,0.0,0.0,0.0,0.0,0.0,0.0
171,5,T2: Radial,Yes,Yes,,36.9,,,0.0,0.0,0.0,0.0,0.0,0.0
188,5,T2: Radial,Yes,Yes,,38.1,,,0.0,0.0,0.0,0.0,0.0,0.0
175,5,T2: Radial,Yes,Yes,,41.7,,,0.0,0.0,0.0,0.0,0.0,0.0
174,5,T2: Radial,Yes,Yes,,100.0,,,1.0,1.0,7.0,2.0,1.0,7.0
176,5,T2: Radial,Yes,Yes,,80.7,,,0.0,0.0,4.0,2.0,1.0,4.0
177,5,T2: Radial,Yes,Yes,,52.8,,,2.0,4.0,2.0,2.0,5.0,0.0
179,5,T2: Radial,Yes,Yes,,52.7,,,7.0,2.0,2.0,1.0,1.0,2.0
180,5,T2: Radial,Yes,Yes,,41.2,,,0.0,0.0,0.0,0.0,0.0,0.0
181,5,T2: Radial,Yes,Yes,,44.1,,,0.0,0.0,0.0,0.0,0.0,0.0
182,5,T2: Radial,Yes,Yes,,44.1,,,0.0,0.0,0.0,0.0,0.0,0.0
183,5,T2: Radial,Yes,,,,,,0.0,0.0,0.0,,,
184,5,T2: Radial,Yes,Yes,,43.4,,,0.0,0.0,0.0,0.0,0.0,0.0
185,5,T2: Radial,Yes,Yes,,38.9,,,0.0,0.0,0.0,0.0,0.0,0.0
186,5,T2: Radial,Yes,Yes,,60.8,,,0.0,0.0,0.0,2.0,0.0,2.0
173,5,T2: Radial,Yes,Yes,,41.7,,,,,,,,
989,5,T2: Radial,Yes,Yes,,44.5,,,,,,0.0,0.0,0.0
986,5,T2: Radial,,,,,,,,,,,,
