Tree Number,Plot,Treatment,Large,Alive at year 6,DBH year 0,DBH year 6,Class year 0,Class year 6,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
321,10,T1: Gap,No,Yes,25.0,26.5,,,,,,0.0,0.0,0.0
322,10,T1: Gap,No,Yes,29.0,32.8,,,,,,0.0,0.0,0.0
323,10,T1: Gap,No,Yes,23.4,26.3,,,,,,0.0,0.0,0.0
324,10,T1: Gap,No,Yes,23.9,25.4,,,,,,0.0,0.0,0.0
325,10,T1: Gap,No,Yes,26.2,28.0,,,,,,0.0,0.0,0.0
326,10,T1: Gap,No,Yes,22.1,23.2,,,,,,0.0,0.0,0.0
331,10,T1: Gap,No,Yes,21.5,23.6,,,,,,0.0,0.0,0.0
333,10,T1: Gap,No,Yes,20.1,21.3,,,,,,0.0,0.0,0.0
335,10,T1: Gap,No,Yes,29.2,31.2,,,0.0,0.0,0.0,0.0,0.0,0.0
338,10,T1: Gap,No,Yes,28.6,30.2,,,,,,0.0,0.0,0.0
327,10,T1: Gap,No,Yes,31.2,32.5,,,0.0,0.0,0.0,0.0,0.0,0.0
328,10,T1: Gap,No,Yes,31.0,32.8,,,0.0,0.0,0.0,0.0,0.0,0.0
329,10,T1: Gap,No,Yes,31.7,35.1,,,3.0,0.0,0.0,0.0,0.0,0.0
330,10,T1: Gap,No,Yes,33.0,35.4,,,0.0,0.0,0.0,0.0,0.0,0.0
332,10,T1: Gap,No,Yes,31.1,32.7,,,0.0,0.0,0.0,0.0,0.0,0.0
334,10,T1: Gap,No,Yes,32.2,33.5,,,0.0,0.0,0.0,0.0,0.0,0.0
336,10,T1: Gap,No,Yes,32.0,35.2,,,,,,0.0,0.0,0.0
337,10,T1: Gap,No,Yes,31.1,34.1,,,0.0,0.0,0.0,0.0,0.0,0.0
339,10,T1: Gap,No,Yes,36.2,41.1,,,0.0,0.0,0.0,0.0,0.0,0.0
340,10,T1: Gap,No,Yes,34.5,36.9,,,0.0,0.0,0.0,0.0,0.0,0.0
20,10,T1: Gap,Yes,Yes,36.0,41.6,,,0.0,0.0,0.0,0.0,0.0,0.0
19,10,T1: Gap,Yes,Yes,43.0,45.9,,,0.0,0.0,0.0,0.0,0.0,0.0
13,10,T1: Gap,Yes,Yes,42.0,42.5,,,0.0,0.0,0.0,0.0,0.0,0.0
14,10,T1: Gap,Yes,Yes,42.0,41.4,,,0.0,0.0,0.0,0.0,0.0,0.0
7,10,T1: Gap,Yes,Yes,36.0,38.6,,,0.0,0.0,0.0,0.0,0.0,0.0
12,10,T1: Gap,Yes,Yes,36.0,36.2,,,0.0,0.0,0.0,0.0,0.0,0.0
15,10,T1: Gap,Yes,Yes,35.0,36.3,,,0.0,0.0,0.0,0.0,0.0,0.0
16,10,T1: Gap,Yes,Yes,39.0,39.3,,,0.0,0.0,0.0,0.0,0.0,0.0
9,10,T1: Gap,Yes,Yes,41.0,42.6,,,0.0,0.0,0.0,0.0,0.0,0.0
4,10,T1: Gap,Yes,Yes,35.0,37.1,,,0.0,0.0,0.0,0.0,0.0,0.0
974,10,T1: Gap,Yes,Yes,43.0,47.6,,,0.0,0.0,0.0,0.0,0.0,0.0
2,10,T1: Gap,Yes,Yes,38.0,40.3,,,0.0,0.0,0.0,0.0,0.0,0.0
3,10,T1: Gap,Yes,Yes,35.0,36.8,,,0.0,0.0,0.0,0.0,0.0,0.0
5,10,T1: Gap,Yes,Yes,35.0,37.6,,,0.0,0.0,0.0,0.0,0.0,0.0
6,10,T1: Gap,Yes,Yes,35.5,39.3,,,0.0,0.0,0.0,0.0,0.0,0.0
8,10,T1: Gap,Yes,Yes,44.0,44.1,,,0.0,0.0,0.0,0.0,0.0,0.0
10,10,T1: Gap,Yes,Yes,44.0,45.7,,,0.0,0.0,0.0,0.0,0.0,0.0
977,10,T1: Gap,Yes,Yes,42.0,47.1,,,0.0,0.0,0.0,0.0,0.0,0.0
18,10,T1: Gap,Yes,Yes,34.0,37.0,,,0.0,0.0,0.0,0.0,0.0,0.0
11,10,T1: Gap,Yes,Yes,,37.0,,,,,,0.0,0.0,0.0
