"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"136","3-6",7,"Radial",8,"True","True",-2
"137","3-6",7,"Radial",9,"False","False",-3
"138","3-6",7,"Radial",10,"True","True",-7
"139","3-6",7,"Radial",11,"False","False",-4
"140","3-6",7,"Radial",12,"True","True",-5
"141","3-6",7,"Radial",13,"False","True",-10
"142","3-6",7,"Radial",14,"True","True",-12
"143","3-6",7,"Radial",15,"False","True",1
"144","3-6",7,"Radial",16,"True","False",-1
"145","3-6",7,"Radial",17,"False","False",-4
"146","3-6",7,"Radial",18,"True","True",-5
"147","3-6",7,"Radial",19,"False","True",0
"148","3-6",7,"Radial",20,"True","True",1
"149","3-6",7,"Radial",21,"False","False",-10
"150","3-6",7,"Radial",22,"True","False",-3
"151","3-6",7,"Radial",23,"False","False",-4
"152","3-6",7,"Radial",24,"True","False",-3
"153","3-6",7,"Radial",25,"False","False",-1
"154","3-6",7,"Radial",26,"True","True",1
"155","3-6",7,"Radial",27,"False","True",1
"156","3-6",7,"Radial",28,"True","True",-10
"157","3-6",7,"Radial",29,"False","True",-2
"158","3-6",7,"Radial",30,"True","True",-1
"159","3-6",7,"Radial",31,"False","True",-7
"160","3-6",7,"Radial",32,"True","False",-5
"161","3-6",9,"Radial",1,"False","True",-7
"162","3-6",9,"Radial",2,"True","True",-14
"163","3-6",9,"Radial",3,"False","True",-8
"164","3-6",9,"Radial",4,"True","True",-4
"165","3-6",9,"Radial",5,"False","True",-7
"166","3-6",9,"Radial",6,"True","True",-3
"167","3-6",9,"Radial",7,"False","True",-7
"168","3-6",9,"Radial",8,"True","True",-6
"169","3-6",9,"Radial",9,"False","True",-9
"170","3-6",9,"Radial",10,"True","False",-7
"171","3-6",9,"Radial",11,"False","True",-9
"172","3-6",9,"Radial",12,"True","True",3
"173","3-6",9,"Radial",13,"False","True",-2
"174","3-6",9,"Radial",14,"True","False",0
"175","3-6",9,"Radial",15,"False","False",-4
"176","3-6",9,"Radial",16,"True","True",-5
"177","3-6",9,"Radial",17,"False","False",-5
"178","3-6",9,"Radial",18,"True","True",-7
"179","3-6",9,"Radial",19,"False","True",-3
"180","3-6",9,"Radial",20,"True","True",-12
"181","3-6",9,"Radial",21,"False","True",-4
