Treatment,Plot,Fenced,Gap,0,3,6
Control,2,False,False,1.630253404845705,1.7396502577736903,1.1472334934562365
Control,4,False,False,1.1835930558780285,1.6709175221324053,0.980860710088558
Control,4,False,True,1.1782880627139178,1.6297122782833044,1.0686534086368853
Control,6,False,False,1.9112147847394327,2.1793681245873735,1.325027403906905
Control,11,False,False,1.9905421523617948,2.331141718687209,2.638357433831391
Gap,1,False,False,1.3395782005489993,1.462944752437054,1.7547694645626672
Gap,1,False,True,1.6709969000141827,2.2126273540422914,1.5455183402226524
Gap,8,False,False,1.6406028198011469,1.4312838634410263,1.1317224838842812
Gap,8,False,True,1.9052704868930506,2.135606189819784,1.5797603849073554
Gap,10,False,False,1.7827255244668962,2.2321699290270356,2.1958668554966043
Gap,10,False,True,1.7760882813687022,2.5902295114097047,1.6764360637838929
Gap,10,True,False,1.5691603930018991,1.9470283803789776,2.1841589303363493
Gap,10,True,True,1.5971803855670432,2.659570313050363,2.223467741395673
Gap,12,False,False,2.002900114188198,2.653484211102852,1.9363774807250893
Gap,12,False,True,2.187200990199171,2.513500660172901,1.854962693739863
Gap,12,True,False,1.7986260288607603,2.5230054646327176,2.1957912548764864
Gap,12,True,True,2.1570919990165223,2.3158508480241125,1.9047799341333613
Radial,3,False,False,1.2967608695841888,,1.2290389277455604
Radial,3,False,True,1.6942688193900985,,0.997067661917423
Radial,5,False,False,1.5054861105759318,1.417722087243654,1.3118579064219207
Radial,5,False,True,1.548456846709629,1.3756951148383367,1.2896493776487483
Radial,7,False,False,1.4197026458075592,2.268602507717465,1.975561889994114
Radial,7,False,True,1.6211188236273801,2.145735651800797,2.0465544367014896
Radial,7,True,False,1.9452182182328803,2.4416169205094365,2.176644575321255
Radial,7,True,True,1.7269069963382926,2.2739141685192426,1.9779548653171997
Radial,9,False,False,2.1545129603117195,2.359685713053834,1.9143986153984336
Radial,9,False,True,2.1466080708396316,1.8308457285900723,2.1160349357040014
Radial,9,True,False,1.5299345882327255,1.8214811652678105,2.3676881987788065
Radial,9,True,True,2.233303926808655,2.390242885271766,2.345702769525247
