,Candidate 1,Candidate 2,Candidate 3,Options
Stellaria spp.,Stellaria sp. 1,Stellaria sp. 2,,"[(4, 'Arenaria spp.'), (4, 'Frullania spp.'), (4, 'Papillaria spp.'), (4, 'Stellaria sp. 1'), (4, 'Stellaria sp. 2'), (5, 'Beyeria spp.'), (5, 'Bursaria spp.'), (5, 'Cladia spp.'), (5, 'Funaria spp.'), (5, 'Nitella spp.'), (5, 'Riella spp.'), (6, 'Aneura spp.'), (6, 'Aphelia spp.'), (6, 'Aptenia spp.'), (6, 'Artemisia spp.')]"
Rytidosperma spp.,Rytidosperma laeve,Rytidosperma fulvum,,"[(6, 'Rytidosperma laeve'), (7, 'Calostemma spp.'), (7, 'Lepidolaena spp.'), (7, 'Rytidosperma fulvum'), (8, 'Alisma spp.'), (8, 'Alstroemeria spp.'), (8, 'Anthoceros spp.'), (8, 'Lepidozia spp.'), (8, 'Metzgeria spp.'), (8, 'Rytidosperma alpicola'), (8, 'Rytidosperma australe'), (8, 'Rytidosperma indutum'), (8, 'Rytidosperma pilosum'), (8, 'Rytidosperma setaceum'), (8, 'Rytidosperma tenuius')]"
Senecio spp,,,,"[(5, 'Beyeria spp.'), (5, 'Meesia spp.'), (6, 'Aneura spp.'), (6, 'Aphelia spp.'), (6, 'Aptenia spp.'), (6, 'Arenaria spp.'), (6, 'Berberis spp.'), (6, 'Bergia spp.'), (6, 'Freesia spp.'), (6, 'Funaria spp.'), (6, 'Riccia spp.'), (6, 'Usnea spp.'), (6, 'Weissia spp.'), (7, 'Acaena spp.'), (7, 'Acer spp.')]"
Wahlenbergia spp,Wahlenbergia ceracea,Wahlenbergia luteola,,"[(8, 'Arenaria spp.'), (8, 'Berberis spp.'), (8, 'Bergia spp.'), (8, 'Beyeria spp.'), (8, 'Caladenia spp.'), (8, 'Calendula spp.'), (8, 'Wahlenbergia ceracea'), (8, 'Wahlenbergia luteola'), (9, 'Aphelia spp.'), (9, 'Aptenia spp.'), (9, 'Bauera spp.'), (9, 'Bazzania spp.'), (9, 'Blindia spp.'), (9, 'Breutelia spp.'), (9, 'Callitris spp.')]"
CWD,Inter-tussock gap,,,"[(7, 'Poa fax'), (8, 'Acer spp.'), (8, 'Poa orba'), (8, 'Zea mays'), (9, 'Aira spp.'), (9, 'Aloe spp.'), (9, 'Arum spp.'), (9, 'Poa annua'), (9, 'Sedum acre'), (10, 'Acaena spp.'), (10, 'Acer negundo'), (10, 'Agave spp.'), (10, 'Ajuga spp.'), (10, 'Ammi majus'), (10, 'Aotus spp.')]"
Leaf Litter,Inter-tussock gap,,,"[(7, 'Nonea lutea'), (8, 'Caleana minor'), (8, 'Malva linnaei'), (8, 'Olearia lirata'), (8, 'Olearia minor'), (8, 'Poa hookeri'), (8, 'Poa tenera'), (8, 'Reseda lutea'), (8, 'Zea mays'), (9, 'Acacia loderi'), (9, 'Acacia triptera'), (9, 'Avena fatua'), (9, 'Avena sativa'), (9, 'Briza minor'), (9, 'Caleana major')]"
Moss/Lichen,Inter-tussock gap,,,"[(8, 'Poa saxicola'), (9, 'Nonea lutea'), (9, 'Pinus pinea'), (9, 'Poa clivicola'), (9, 'Rosa canina'), (9, 'Sedum acre'), (10, 'Alisma spp.'), (10, 'Aotus ericoides'), (10, 'Aotus spp.'), (10, 'Arum italicum'), (10, 'Banksia canei'), (10, 'Boronia nana'), (10, 'Bossiaea ensata'), (10, 'Bromus rubens'), (10, 'Carex archeri')]"
Cardamine sp.,Cardamine tryssa,,,"[(6, 'Bartramia spp.'), (6, 'Cardamine tryssa'), (7, 'Adriana spp.'), (7, 'Bazzania spp.'), (7, 'Bulbine spp.'), (7, 'Bursaria spp.'), (7, 'Characeae spp.'), (7, 'Grimmia spp.'), (8, 'Acaena spp.'), (8, 'Acaulon spp.'), (8, 'Agave spp.'), (8, 'Aira spp.'), (8, 'Aloina spp.'), (8, 'Anthemis spp.'), (8, 'Aphanes spp.')]"
Crassula spp,,,,"[(5, 'Barbula spp.'), (5, 'Radula spp.'), (6, 'Brassica rapa'), (6, 'Dianella spp.'), (6, 'Dicranella spp.'), (6, 'Freesia spp.'), (6, 'Phascum spp.'), (6, 'Tortula spp.'), (6, 'Weissia spp.'), (7, 'Acaena spp.'), (7, 'Acaulon spp.'), (7, 'Ajuga spp.'), (7, 'Alisma spp.'), (7, 'Anchusa spp.'), (7, 'Aneura spp.')]"
Bare Earth,Inter-tussock gap,,,"[(7, 'Carex archeri'), (7, 'Carex blakei'), (7, 'Carex flacca'), (7, 'Carex hebes'), (7, 'Carex iynx'), (7, 'Hakea eriantha'), (8, 'Acacia elata'), (8, 'Agave spp.'), (8, 'Aira spp.'), (8, 'Aloe spp.'), (8, 'Ammi majus'), (8, 'Barbarea verna'), (8, 'Baumea acuta'), (8, 'Baumea laxa'), (8, 'Carex disticha')]"
