,Entry,Options
13,Lachnagrostis spp.,"[(6, 'Lachnagrostis scabra'), (8, 'Balantiopsis spp.'), (8, 'Lachnagrostis robusta'), (8, 'Marchantia spp.'), (8, 'Philonotis spp.'), (9, 'Ambrosia spp.'), (9, 'Amphibromus spp.'), (9, 'Anthoceros spp.'), (9, 'Arenaria spp.'), (9, 'Callitris spp.'), (9, 'Funaria spp.'), (9, 'Lachnagrostis adamsonii'), (9, 'Riccardia spp.'), (9, 'Thuidiopsis spp.'), (10, 'Acaulon spp.')]"
14,Hypochaeris spp,"[(8, 'Anthemis spp.'), (8, 'Anthoceros spp.'), (8, 'Aphanes spp.'), (8, 'Aphelia spp.'), (8, 'Berberis spp.'), (8, 'Calochilus spp.'), (8, 'Camptochaete spp.'), (8, 'Cryphaea spp.'), (8, 'Hypochoeris glabra'), (8, 'Isotachis spp.'), (8, 'Marchantia spp.'), (8, 'Papillaria spp.'), (9, 'Acaena spp.'), (9, 'Acer spp.'), (9, 'Angophora spp.')]"
15,Lagenophora spp,"[(5, 'Angophora spp.'), (7, 'Plagiochila spp.'), (8, 'Bauera spp.'), (8, 'Calendula spp.'), (8, 'Lagenophora montana'), (8, 'Lagenophora stipitata'), (9, 'Acaena spp.'), (9, 'Anchusa spp.'), (9, 'Aneura spp.'), (9, 'Aptenia spp.'), (9, 'Arenaria spp.'), (9, 'Avena spp.'), (9, 'Caladenia spp.'), (9, 'Cladonia spp.'), (9, 'Colura spp.')]"
16,Hydrocotyle spp,"[(6, 'Hydrocotyle hirta'), (7, 'Hydrocotyle algida'), (7, 'Hydrocotyle muscosa'), (9, 'Acrobolbus spp.'), (9, 'Bertya spp.'), (9, 'Characeae spp.'), (9, 'Hydrocotyle comocarpa'), (9, 'Hydrocotyle rugulosa'), (9, 'Philonotis spp.'), (9, 'Pyrrhobryum spp.'), (9, 'Symphyogyna spp.'), (9, 'Tortula spp.'), (9, 'Trichocolea spp.'), (9, 'Zygodon spp.'), (10, 'Achillea spp.')]"
17,Cerastium glomeratum,"[(5, 'Cerastium comatum'), (6, 'Cerastium glomeratum s.l.'), (6, 'Cerastium glomeratum s.s.'), (6, 'Choretrum glomeratum'), (6, 'Trifolium glomeratum'), (7, 'Geranium homeanum'), (8, 'Cerastium balearicum'), (8, 'Cerastium pumilum'), (8, 'Senecio glomeratus'), (9, 'Cerastium diffusum'), (9, 'Galium liratum'), (9, 'Geranium dissectum'), (9, 'Geranium neglectum'), (9, 'Geranium robertianum'), (9, 'Myriophyllum glomeratum')]"
18,Austrostipa spp,"[(6, 'Australina spp.'), (6, 'Austrostipa rudis'), (6, 'Austrostipa scabra'), (6, 'Austrostipa stuposa'), (7, 'Ambrosia spp.'), (7, 'Astrotricha spp.'), (7, 'Austrostipa exilis'), (7, 'Austrostipa mollis'), (7, 'Austrostipa nitida'), (7, 'Austrostipa nodosa'), (7, 'Austrostipa pilata'), (7, 'Austrostipa setacea'), (8, 'Alstroemeria spp.'), (8, 'Austrostipa blackii'), (8, 'Austrostipa gibbosa')]"
19,Hypochaeris glabra,"[(2, 'Hypochoeris glabra'), (7, 'Eleocharis plana'), (8, 'Centrolepis glabra'), (9, 'Eleocharis acuta'), (9, 'Eleocharis minuta'), (9, 'Hypochoeris radicata'), (9, 'Isolepis habra'), (9, 'Turritis glabra'), (10, 'Elachanthus glaber'), (10, 'Eleocharis atricha'), (10, 'Eleocharis gracilis'), (10, 'Eleocharis pallens'), (10, 'Eleocharis pusilla'), (10, 'Epacris celata'), (10, 'Eremophila glabra')]"
20,Poranthera microphylla,"[(6, 'Poranthera microphylla s.l.'), (8, 'Eutaxia microphylla'), (8, 'Gleichenia microphylla'), (8, 'Lindsaea microphylla'), (8, 'Maireana microphylla'), (8, 'Swainsona microphylla'), (9, 'Glycine microphylla'), (9, 'Gynatrix macrophylla'), (9, 'Leionema microphyllum'), (10, 'Barbula acrophylla'), (10, 'Colura saccophylla'), (10, 'Corynotheca licrota'), (10, 'Poranthera corymbosa'), (10, 'Tetratheca subaphylla'), (10, 'Xanthosia leiophylla')]"
21,Rytidosperma caespitosum,"[(8, 'Rytidosperma nivicolum'), (8, 'Thelionema caespitosum'), (9, 'Rytidosperma australe'), (9, 'Rytidosperma nudiflorum'), (10, 'Hyalosperma demissum'), (10, 'Lepidosperma canescens'), (10, 'Lepidosperma congestum'), (10, 'Lepidosperma tortuosum'), (10, 'Lepidosperma urophorum'), (10, 'Lepidosperma viscidum'), (10, 'Sedum caespitosum'), (11, 'Lepidosperma carphoides'), (11, 'Lepidosperma concavum'), (11, 'Lepidosperma elatius'), (11, 'Lepidosperma gladiatum')]"
22,Rytidosperma geniculata,"[(8, 'Rytidosperma nivicolum'), (9, 'Goodenia geniculata'), (9, 'Lepidosperma limicola'), (10, 'Rytidosperma australe'), (10, 'Rytidosperma nudiflorum'), (11, 'Austrostipa bigeniculata'), (11, 'Goodenia paniculata'), (11, 'Lepidosperma concavum'), (11, 'Lepidosperma elatius'), (11, 'Lepidosperma gladiatum'), (11, 'Lepidosperma gunnii'), (11, 'Lepidosperma semiteres'), (11, 'Libertia paniculata'), (11, 'Minuria denticulata'), (11, 'Prostanthera denticulata')]"
