Treatment,Plot Number,Fenced,Gap,0,3,6
Control,2,False,False,1.7507251945366815,1.756543846871459,1.1217851524535192
Control,4,False,False,1.3699081548893366,1.6657390238133496,1.0814827393081812
Control,4,False,True,1.2490683576265798,1.525977854482771,1.1436801989776249
Control,6,False,False,1.960038376811236,2.1087261658602725,1.3272119996050578
Control,11,False,False,2.244171830562436,2.5814190549234017,2.836051676700157
Gap,1,False,False,1.3609033375476818,1.424713848897062,1.675544595377152
Gap,1,False,True,1.8595330335560418,2.1318717493655135,1.4197926543999482
Gap,8,False,False,1.6949192116945049,1.339501075295279,1.1857395192582922
Gap,8,False,True,2.079496369453309,2.1900180692239855,1.5873900696954726
Gap,10,False,False,2.033469817206466,2.497962493272506,2.3827848558305242
Gap,10,False,True,1.9935894624536497,2.757765069344662,1.6955321274628337
Gap,10,True,False,1.7588659883531013,2.085723679581632,2.300567569298537
Gap,10,True,True,1.7857014850256827,2.787192925909194,2.2170318532938817
Gap,12,False,False,2.2354009306836593,2.9952749464120583,1.9868567482487123
Gap,12,False,True,2.451802956668033,2.7837600454131772,1.8298747289460764
Gap,12,True,False,1.88809202403783,2.6983238323334273,2.0117698730081526
Gap,12,True,True,2.3413310162211145,2.389812206646256,1.8067790608061811
Radial,3,False,False,1.273444914620795,,1.1410144590586715
Radial,3,False,True,1.778601693779335,,0.9084657390464201
Radial,5,False,False,1.7760479694214963,1.3754031491894338,1.4102487036796603
Radial,5,False,True,1.671647118362053,1.446552466438299,1.2939988388733037
Radial,7,False,False,1.6756478673104789,2.597979970758464,1.9698742980385677
Radial,7,False,True,1.8121493165625353,2.2939648571868254,1.9048540735620467
Radial,7,True,False,2.19984654667499,2.566234857506621,2.415904955840817
Radial,7,True,True,2.0470526634008137,2.3260494035938066,1.9578187480306186
Radial,9,False,False,2.5162995788720166,2.5888982675678958,2.3363140042837722
Radial,9,False,True,2.4688593649998634,1.9609088410106266,2.20320120081844
Radial,9,True,False,1.639838867260896,1.6652682119019804,2.608983694004073
Radial,9,True,True,2.5066818286865096,2.407359753328715,2.4579341000222485
